n_exponent,n,k,threshold,repetitions,mergesort_avg_seconds,kway_avg_seconds,correcto
20,1048576,2,1024,5,0.169481440,0.360374580,1
20,1048576,4,1024,5,0.166686120,0.282973960,1
20,1048576,8,1024,5,0.161400620,0.270901120,1
20,1048576,16,1024,5,0.158907740,0.237563680,1
22,4194304,2,1024,5,0.719614100,1.603324480,1
22,4194304,4,1024,5,0.715022260,1.314732800,1
22,4194304,8,1024,5,0.718083300,1.102689920,1
22,4194304,16,1024,5,0.721201000,0.992802920,1
24,16777216,2,1024,5,3.149922540,7.314810260,1
24,16777216,4,1024,5,3.152350940,5.965966940,1
24,16777216,8,1024,5,3.158963860,5.142913140,1
24,16777216,16,1024,5,3.162721300,4.701159780,1
26,67108864,2,1024,5,13.790692520,32.894203180,1
26,67108864,4,1024,5,13.817526340,26.695805020,1
26,67108864,8,1024,5,13.777404900,23.353910400,1
26,67108864,16,1024,5,13.608994080,19.657862300,1
