alg_name,array_size,k_value,threshold,num_threads,mean_time,std_time
mergesort_seq,1048576,-1,16,1,0.07755614,0.0016074904374210148
mergesort_seq,1048576,-1,64,1,0.07860323999999999,0.0014900724057575227
mergesort_seq,1048576,-1,256,1,0.07621697999999999,0.0006792891502151339
mergesort_seq,1048576,-1,1024,1,0.07449874000000001,0.0009222257979475525
mergesort_seq,1048576,-1,4096,1,0.07190126,0.0007052671907865876
mergesort_seq,4194304,-1,16,1,0.3613336,0.018353795929997696
mergesort_seq,4194304,-1,64,1,0.3591354,0.015370310961070366
mergesort_seq,4194304,-1,256,1,0.344104,0.002903738349094146
mergesort_seq,4194304,-1,1024,1,0.3330516,0.0018744939157009884
mergesort_seq,4194304,-1,4096,1,0.32215779999999994,0.002145897425321164
mergesort_seq,16777216,-1,16,1,1.5152579999999998,0.004388504984616038
mergesort_seq,16777216,-1,64,1,1.53749,0.00963823427812379
mergesort_seq,16777216,-1,256,1,1.505876,0.005426901878604379
mergesort_seq,16777216,-1,1024,1,1.479146,0.007467389369786453
mergesort_seq,16777216,-1,4096,1,1.4443819999999998,0.009239085236104267
mergesort_seq,67108864,-1,16,1,6.682852,0.0244753601812108
mergesort_seq,67108864,-1,64,1,6.7334119999999995,0.014156351789921095
mergesort_seq,67108864,-1,256,1,6.6196660000000005,0.004372164681253651
mergesort_seq,67108864,-1,1024,1,6.50073,0.010990776132739561
mergesort_seq,67108864,-1,4096,1,6.365772,0.016892314702254503
mergesort_par,1048576,-1,16,1,0.08847568,0.0018803918032154908
mergesort_par,1048576,-1,16,2,0.0673936,0.003085007052179945
mergesort_par,1048576,-1,16,4,0.06971434000000001,0.0032950644076254415
mergesort_par,1048576,-1,16,8,0.07378898,0.0033875489649007277
mergesort_par,1048576,-1,64,1,0.08340306,0.0019463032565353203
mergesort_par,1048576,-1,64,2,0.05104894,0.0012859845358323698
mergesort_par,1048576,-1,64,4,0.04450302,0.0017844523892780095
mergesort_par,1048576,-1,64,8,0.035715319999999995,0.0015203650238018501
mergesort_par,1048576,-1,256,1,0.08227269999999999,0.0033975615691257187
mergesort_par,1048576,-1,256,2,0.04355658,0.0005599560354170675
mergesort_par,1048576,-1,256,4,0.037502060000000004,0.0016730358939365281
mergesort_par,1048576,-1,256,8,0.027069680000000002,0.000590953877726511
mergesort_par,1048576,-1,1024,1,0.07874935999999999,0.0033171654969868475
mergesort_par,1048576,-1,1024,2,0.04608686000000001,0.0031868886837164555
mergesort_par,1048576,-1,1024,4,0.03918012,0.0012693410233660613
mergesort_par,1048576,-1,1024,8,0.028484220000000005,0.0013170457735401607
mergesort_par,1048576,-1,4096,1,0.0755673,0.0009160427348109913
mergesort_par,1048576,-1,4096,2,0.04182860000000001,0.0013727987718525978
mergesort_par,1048576,-1,4096,4,0.03556820000000001,0.0014334891684278602
mergesort_par,1048576,-1,4096,8,0.027392500000000004,0.0008670899099862713
mergesort_par,4194304,-1,16,1,0.3927224,0.005683982990826055
mergesort_par,4194304,-1,16,2,0.3079748,0.002558188843693928
mergesort_par,4194304,-1,16,4,0.27360379999999995,0.0069869464403271315
mergesort_par,4194304,-1,16,8,0.2984418,0.006577772431454282
mergesort_par,4194304,-1,64,1,0.36627960000000004,0.0018336317623776108
mergesort_par,4194304,-1,64,2,0.2186296,0.005326685858955823
mergesort_par,4194304,-1,64,4,0.18481799999999998,0.0055956328685860006
mergesort_par,4194304,-1,64,8,0.13432400000000003,0.002643484821216116
mergesort_par,4194304,-1,256,1,0.3499672,0.001212909625652306
mergesort_par,4194304,-1,256,2,0.19708799999999999,0.005586473914733686
mergesort_par,4194304,-1,256,4,0.16457139999999998,0.006928875048664107
mergesort_par,4194304,-1,256,8,0.11811100000000001,0.0038306235001628625
mergesort_par,4194304,-1,1024,1,0.33850579999999997,0.00142497500328953
mergesort_par,4194304,-1,1024,2,0.1824836,0.0008970570996319032
mergesort_par,4194304,-1,1024,4,0.1563832,0.005949232837938018
mergesort_par,4194304,-1,1024,8,0.11128020000000001,0.004576575986477227
mergesort_par,4194304,-1,4096,1,0.32744359999999995,0.0015407584625761292
mergesort_par,4194304,-1,4096,2,0.1785926,0.0034592649855135355
mergesort_par,4194304,-1,4096,4,0.1547746,0.005466017585043066
mergesort_par,4194304,-1,4096,8,0.1060884,0.0036644921394376026
mergesort_par,16777216,-1,16,1,1.706364,0.008009276122097458
mergesort_par,16777216,-1,16,2,1.235876,0.013338819438016259
mergesort_par,16777216,-1,16,4,1.1260759999999999,0.05940803029894193
mergesort_par,16777216,-1,16,8,1.162938,0.022100187691510627
mergesort_par,16777216,-1,64,1,1.6234099999999998,0.009599437483519538
mergesort_par,16777216,-1,64,2,0.9341546000000001,0.008515624430422006
mergesort_par,16777216,-1,64,4,0.7577195999999999,0.040538839606481095
mergesort_par,16777216,-1,64,8,0.5619718,0.016026103349223733
mergesort_par,16777216,-1,256,1,1.5474439999999998,0.0043760009140766665
mergesort_par,16777216,-1,256,2,0.8574408,0.007934455328502408
mergesort_par,16777216,-1,256,4,0.7014776,0.028566966654512003
mergesort_par,16777216,-1,256,8,0.4944501999999999,0.023411803487984426
mergesort_par,16777216,-1,1024,1,1.501884,0.005409671339369899
mergesort_par,16777216,-1,1024,2,0.8100564,0.00876373780073319
mergesort_par,16777216,-1,1024,4,0.6750342,0.028202097740416415
mergesort_par,16777216,-1,1024,8,0.4728996,0.00566154426283148
mergesort_par,16777216,-1,4096,1,1.4533619999999998,0.0065169176763252125
mergesort_par,16777216,-1,4096,2,0.7852018,0.009895167131483923
mergesort_par,16777216,-1,4096,4,0.6455874,0.0192735347728433
mergesort_par,16777216,-1,4096,8,0.4693866,0.010231943131194585
mergesort_par,67108864,-1,16,1,7.378324000000001,0.012639581638646027
mergesort_par,67108864,-1,16,2,5.206872,0.05252174003210484
mergesort_par,67108864,-1,16,4,4.74124,0.23815465554970794
mergesort_par,67108864,-1,16,8,4.438129999999999,0.0959854316029261
mergesort_par,67108864,-1,64,1,7.045492,0.008021519556792249
mergesort_par,67108864,-1,64,2,4.045998,0.01810083025720076
mergesort_par,67108864,-1,64,4,3.3804199999999995,0.10592953903420904
mergesort_par,67108864,-1,64,8,2.3640719999999997,0.035976580382243155
mergesort_par,67108864,-1,256,1,6.795298,0.021682884863412577
mergesort_par,67108864,-1,256,2,3.6978859999999996,0.009822972258944839
mergesort_par,67108864,-1,256,4,3.0648679999999997,0.08384585389868725
mergesort_par,67108864,-1,256,8,2.108732,0.07697997386333669
mergesort_par,67108864,-1,1024,1,6.5957419999999995,0.012593138449171499
mergesort_par,67108864,-1,1024,2,3.5487580000000003,0.01411623660895487
mergesort_par,67108864,-1,1024,4,2.948804,0.0758560142902328
mergesort_par,67108864,-1,1024,8,1.987648,0.09561157992628301
mergesort_par,67108864,-1,4096,1,6.411192,0.005606187296193478
mergesort_par,67108864,-1,4096,2,3.5773160000000006,0.22805157369332052
mergesort_par,67108864,-1,4096,4,2.854524,0.0938366950824676
mergesort_par,67108864,-1,4096,8,1.994678,0.01930071957207804
kway_seq,1048576,2,16,1,0.270428,0.0023185200452012426
kway_seq,1048576,2,64,1,0.24146300000000004,0.001927216957169068
kway_seq,1048576,2,256,1,0.21728579999999997,0.0034885230915102164
kway_seq,1048576,2,1024,1,0.193615,0.001131380572574935
kway_seq,1048576,2,4096,1,0.1684928,0.002950064433194643
kway_seq,1048576,4,16,1,0.1765566,0.0005217741273769748
kway_seq,1048576,4,64,1,0.161889,0.0012481472669521039
kway_seq,1048576,4,256,1,0.14887080000000003,0.0003773059236216708
kway_seq,1048576,4,1024,1,0.13604719999999998,0.00324702728045207
kway_seq,1048576,4,4096,1,0.12269459999999999,0.0022232393123548288
kway_seq,1048576,8,16,1,0.1647266,0.0013513142639667557
kway_seq,1048576,8,64,1,0.14369539999999997,0.0007815811154320503
kway_seq,1048576,8,256,1,0.130443,0.002970524263492891
kway_seq,1048576,8,1024,1,0.129046,0.0031612107806977996
kway_seq,1048576,8,4096,1,0.11147699999999998,0.0018623855669543852
kway_seq,1048576,16,16,1,0.13597140000000002,0.001421934119430287
kway_seq,1048576,16,64,1,0.135165,0.0013880894783838721
kway_seq,1048576,16,256,1,0.11950160000000001,0.00044964990826197414
kway_seq,1048576,16,1024,1,0.11946379999999998,0.0015198001710751323
kway_seq,1048576,16,4096,1,0.1007353,0.0013058762422220537
kway_seq,1048576,32,16,1,0.1629902,0.0027967673053008956
kway_seq,1048576,32,64,1,0.1341726,0.008278008204876343
kway_seq,1048576,32,256,1,0.1311522,0.0036107640410306535
kway_seq,1048576,32,1024,1,0.10908899999999999,0.0025367068415565893
kway_seq,1048576,32,4096,1,0.10867900000000001,0.0023239983648875515
kway_seq,4194304,2,16,1,1.202692,0.013072578016596417
kway_seq,4194304,2,64,1,1.099642,0.007369850473381406
kway_seq,4194304,2,256,1,0.9990116,0.003953101901039283
kway_seq,4194304,2,1024,1,0.9051081999999999,0.008780448722018722
kway_seq,4194304,2,4096,1,0.7923472,0.0059606137066580515
kway_seq,4194304,4,16,1,0.780635,0.0066681514679857
kway_seq,4194304,4,64,1,0.760213,0.011588842150965744
